ID,Image,Name,Nickname,Game,Archetype,Position,Element,Team,Power,Control,Technique,Pressure,Physical,Agility,Intelligence,Total,Age group,School year,Gender,Role
1,https://dxi4wb638ujep.cloudfront.net/1/k/d/w/dwho-wi8ruk.png,Mark Evans,Evans,Inazuma Eleven,Justice,GK,Mountain,Raimon,126,135,127,137,147,155,135,962,Middle School,Grade 8,Male,Player
2,https://dxi4wb638ujep.cloudfront.net/1/k/f/1/f1kh7d67sbs.png,Axel Blaze,Axel,Inazuma Eleven,Justice,FW,Fire,Raimon,169,161,147,123,119,119,130,968,Middle School,Grade 8,Male,Player
3,https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mrvaa0xojh8.png,Jack Wallside,Wallside,Inazuma Eleven,Justice,DF,Mountain,Raimon,126,131,133,142,147,127,159,965,Middle School,Grade 7,Male,Player
4,https://dxi4wb638ujep.cloudfront.net/1/k/9/5/95k7tlx0k0u.png,Nathan Swift,Swift,Inazuma Eleven,Justice,DF,Wind,Raimon,126,131,133,142,147,127,159,965,Middle School,Grade 8,Male,Player
5,https://dxi4wb638ujep.cloudfront.net/1/k/0/d/0dvmw8cb_ye.png,Kevin Dragonfly,Kevin,Inazuma Eleven,Tension,FW,Forest,Raimon,166,159,145,119,117,117,128,951,Middle School,Grade 8,Male,Player
6,https://dxi4wb638ujep.cloudfront.net/1/k/_/y/_yjndsfyhyu.png,Tod Ironside,Tod,Inazuma Eleven,Counter-attack,DF,Fire,Raimon,121,127,128,138,145,124,156,939,Middle School,Grade 7,Male,Player
7,https://dxi4wb638ujep.cloudfront.net/1/k/f/3/f3asqpwqusk.png,Steve Grim,Steve,Inazuma Eleven,Justice,MF,Wind,Raimon,144,155,151,126,126,116,138,956,Middle School,Grade 8,Male,Player
8,https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rd_khczyztm.png,Maxwell Carson,Max,Inazuma Eleven,Tension,FW,Wind,Raimon,166,159,145,119,117,117,128,951,Middle School,Grade 8,Male,Player
9,https://dxi4wb638ujep.cloudfront.net/1/k/u/f/ufxz9wwq5hm.png,Tim Saunders,Timmy,Inazuma Eleven,Bond,MF,Forest,Raimon,144,155,151,126,126,116,138,956,Middle School,Grade 7,Male,Player
10,https://dxi4wb638ujep.cloudfront.net/1/k/a/1/a1orm9vieek.png,Sam Kincaid,Sam,Inazuma Eleven,Bond,MF,Fire,Raimon,144,155,151,126,126,116,138,956,Middle School,Grade 7,Male,Player
11,https://dxi4wb638ujep.cloudfront.net/1/k/o/w/owsgutjimb8.png,Jim Wraith,Jim,Inazuma Eleven,Justice,DF,Forest,Raimon,121,127,128,138,145,124,156,939,Middle School,Grade 8,Male,Player
12,https://dxi4wb638ujep.cloudfront.net/1/k/u/y/uy2tfhpjks0.png,William Glass,Glass,Inazuma Eleven,Justice,FW,Forest,Raimon,158,155,140,126,121,116,138,954,Middle School,Grade 8,Male,Player
13,https://dxi4wb638ujep.cloudfront.net/1/k/e/4/e4qtt3lwf_m.png,Erik Eagle,Erik,Inazuma Eleven,Bond,MF,Forest,Raimon,144,155,151,126,126,116,138,956,Middle School,Grade 8,Male,Player
14,https://dxi4wb638ujep.cloudfront.net/1/k/-/x/-xzmaq-eqf8.png,Bobby Shearer,Bobby,Inazuma Eleven,Tension,DF,Forest,Raimon,121,127,128,138,145,124,156,939,Middle School,Grade 8,Male,Player
15,https://dxi4wb638ujep.cloudfront.net/1/k/c/b/cb88nfolkwe.png,Silvia Woods,Silvia,Inazuma Eleven,Tension,GK,Mountain,Raimon,126,135,127,137,147,155,135,962,Middle School,Grade 8,Female,Coordinator
16,https://dxi4wb638ujep.cloudfront.net/1/k/z/p/zpndk6oxjls.png,Celia Hills,Celia,Inazuma Eleven,Bond,MF,Wind,Raimon,145,156,152,127,128,119,140,967,Middle School,Grade 7,Female,Coordinator
17,https://dxi4wb638ujep.cloudfront.net/1/k/x/i/xikbkjcdmjs.png,Nelly Raimon,Nelly,Inazuma Eleven,Bond,FW,Fire,Raimon,169,161,147,123,119,119,130,968,Middle School,Grade 8,Female,Coordinator
18,https://dxi4wb638ujep.cloudfront.net/1/k/9/w/9wtikebapts.png,Joseph King,King,Inazuma Eleven,Breach,GK,Fire,Royal Academy,126,135,127,137,147,155,135,962,Middle School,Grade 8,Male,Player
19,https://dxi4wb638ujep.cloudfront.net/1/k/d/5/d5w9zd0i6nc.png,Peter Drent,Drent,Inazuma Eleven,Rough Play,DF,Mountain,Royal Academy,121,126,128,138,144,124,156,937,Middle School,Grade 8,Male,Player
20,https://dxi4wb638ujep.cloudfront.net/1/k/s/r/srbc08syx-0.png,Ben Simmons,Simmons,Inazuma Eleven,Justice,DF,Forest,Royal Academy,114,121,119,142,149,124,166,935,Middle School,Grade 8,Male,Player
21,https://dxi4wb638ujep.cloudfront.net/1/k/u/w/uwgaalaes40.png,Alan Master,Master,Inazuma Eleven,Breach,MF,Wind,Royal Academy,135,158,159,119,113,113,141,938,Middle School,Grade 7,Male,Player
22,https://dxi4wb638ujep.cloudfront.net/1/k/f/y/fy3h3amk_lc.png,Gus Martin,Martin,Inazuma Eleven,Bond,DF,Forest,Royal Academy,121,127,128,138,145,124,156,939,Middle School,Grade 8,Male,Player
23,https://dxi4wb638ujep.cloudfront.net/1/k/_/3/_3uukhtskrs.png,Herman Waldon,Waldon,Inazuma Eleven,Rough Play,MF,Wind,Royal Academy,135,158,159,119,113,113,141,938,Middle School,Grade 8,Male,Player
24,https://dxi4wb638ujep.cloudfront.net/1/k/o/f/ofl1j41wnye.png,John Bloom,Bloom,Inazuma Eleven,Tension,MF,Fire,Royal Academy,135,158,159,119,113,113,141,938,Middle School,Grade 8,Male,Player
